ticker,date,sector,pct_positive,pct_negative,pct_neutral,sentiment_score,uncertainty_rate,call_date,actual_date,CAR+1,CAR+5,CAR+10,CAR+20,CAR-1,CAR-5,CAR-10,event_day_CAR,label
PFE,2026-02-03,Healthcare,0.5133,0.0267,0.46,0.4867,6.8845,2026-02-03,2026-02-03,0.044037,0.067645,0.066787,0.039365,-0.024928,-0.018978,0.009075,0.044037,1
T,2023-04-20,Telecom,0.5467,0.0467,0.4067,0.5,4.1378,2023-04-20,2023-04-20,0.031518,-0.003553,-0.025538,-0.080168,-0.098604,-0.111886,-0.110082,0.031518,0
T,2024-04-24,Telecom,0.4933,0.1067,0.4,0.3867,4.5468,2024-04-24,2024-04-24,-0.009883,0.016555,-0.005461,-0.00727,0.019262,0.033094,0.021723,-0.009883,0
T,2025-04-23,Telecom,0.5267,0.0667,0.4067,0.46,4.7267,2025-04-23,2025-04-23,-0.008545,-0.016953,-0.014588,-0.078306,-0.006964,-0.007199,-0.037182,-0.008545,0
T,2023-07-26,Telecom,0.5133,0.06,0.4267,0.4533,3.75,2023-07-26,2023-07-26,-0.01889,-0.024455,-0.020212,-0.021628,0.005927,0.019881,-0.036489,-0.01889,0
T,2024-07-24,Telecom,0.5733,0.1067,0.32,0.4667,4.4709,2024-07-24,2024-07-24,0.006776,-0.013003,0.046399,-0.015993,0.074831,0.028208,0.058202,0.006776,1
T,2025-07-23,Telecom,0.5867,0.0667,0.3467,0.52,3.9021,2025-07-23,2025-07-23,0.005795,-0.009403,-0.007114,0.048986,0.003528,0.01368,-0.018852,0.005795,0
T,2023-10-19,Telecom,0.5733,0.0133,0.4133,0.56,4.8276,2023-10-19,2023-10-19,0.020152,0.023375,0.020645,-0.015184,0.074429,0.072728,0.044107,0.020152,1
T,2024-10-23,Telecom,0.48,0.1133,0.4067,0.3667,5.2643,2024-10-23,2024-10-23,-0.015057,-0.024393,-0.030137,-0.006526,0.055184,0.04333,0.03723,-0.015057,0
T,2025-10-22,Telecom,0.6133,0.06,0.3267,0.5533,3.9104,2025-10-22,2025-10-22,-0.042329,-0.045382,-0.053393,-0.003217,-0.013995,-0.0239,-0.008299,-0.042329,0
T,2024-01-23,Telecom,0.5867,0.0333,0.38,0.5533,3.3203,2024-01-23,2024-01-23,-0.030762,0.007342,0.005623,-0.036525,0.020298,0.024712,-0.012933,-0.030762,1
T,2025-01-27,Telecom,0.5,0.0333,0.4667,0.4667,4.5778,2025-01-27,2025-01-27,0.002178,0.007226,0.020683,0.112536,0.076645,0.080001,0.080431,0.002178,1
T,2026-01-28,Telecom,0.56,0.0333,0.4067,0.5267,3.6849,2026-01-28,2026-01-28,0.046023,0.144141,0.187775,0.14964,0.046622,0.009636,0.030669,0.046023,1
UNH,2023-04-14,Healthcare,0.52,0.02,0.46,0.5,5.291,2023-04-14,2023-04-14,-0.016172,-0.054021,-0.046905,-0.038063,-0.024998,-0.00998,0.067077,-0.016172,0
UNH,2023-07-14,Healthcare,0.5,0.04,0.46,0.46,6.607,2023-07-14,2023-07-14,0.004671,0.048442,0.030353,0.066059,0.073029,0.015808,-0.017667,0.004671,1
UNH,2023-10-13,Healthcare,0.4933,0.0267,0.48,0.4667,4.8213,2023-10-13,2023-10-13,-0.013062,0.000961,0.020924,-0.017757,0.031354,0.023238,0.060431,-0.013062,1
UNH,2024-01-12,Healthcare,0.5,0.04,0.46,0.46,3.8396,2024-01-12,2024-01-12,-0.000854,-0.03054,-0.063148,-0.058398,-0.034361,-0.048253,-0.006437,-0.000854,0
UNH,2024-04-16,Healthcare,0.42,0.1333,0.4467,0.2867,6.4138,2024-04-16,2024-04-16,0.027458,0.032664,0.034663,0.056687,0.05402,0.050352,0.052973,0.027458,1
UNH,2024-07-16,Healthcare,0.3867,0.1133,0.5,0.2733,5.3563,2024-07-16,2024-07-16,0.058494,0.030237,0.0905,0.086622,0.059072,0.099076,0.073819,0.058494,1
UNH,2024-10-15,Healthcare,0.42,0.0733,0.5067,0.3467,5.3783,2024-10-15,2024-10-15,0.022708,0.018288,0.007066,0.075417,-0.07335,-0.055017,-0.065932,0.022708,1
UNH,2025-01-16,Healthcare,0.34,0.0733,0.5867,0.2667,5.0425,2025-01-16,2025-01-16,-0.011666,0.01533,0.04527,-0.005221,-0.05849,-0.030205,-0.000136,-0.011666,1
UNH,2025-04-17,Healthcare,0.44,0.1133,0.4467,0.3267,5.4159,2025-04-17,2025-04-17,-0.039574,-0.124138,-0.195984,-0.48596,-0.225223,-0.239508,-0.140567,-0.039574,0
UNH,2025-07-29,Healthcare,0.3533,0.1667,0.48,0.1867,6.6408,2025-07-29,2025-07-29,0.020296,-0.027096,-0.009781,0.13518,-0.071976,-0.09456,-0.126124,0.020296,0
UNH,2025-10-28,Healthcare,0.5133,0.0867,0.4,0.4267,6.3489,2025-10-28,2025-10-28,-0.03468,-0.083411,-0.103894,-0.09546,0.002426,-0.016732,-0.015518,-0.03468,0
UNH,2026-01-27,Healthcare,0.5333,0.12,0.3467,0.4133,5.2549,2026-01-27,2026-01-27,0.040143,0.013805,-0.028688,0.00867,-0.200037,-0.191104,-0.170249,0.040143,0
VZ,2023-04-25,Telecom,0.5467,0.1,0.3533,0.4467,3.0469,2023-04-25,2023-04-25,-0.005952,-0.001802,-0.004705,-0.048143,0.021264,-0.022488,-0.045615,-0.005952,0
VZ,2024-04-22,Telecom,0.5467,0.0333,0.42,0.5133,5.4472,2024-04-22,2024-04-22,0.016631,0.01791,-0.014807,-0.021336,-0.055887,-0.02827,-0.023398,0.016631,0
VZ,2025-04-22,Telecom,0.5733,0.02,0.4067,0.5533,5.326,2025-04-22,2025-04-22,-0.026841,-0.056899,-0.037611,-0.100571,-0.019961,-0.003039,-0.014725,-0.026841,0
VZ,2023-07-25,Telecom,0.6,0.0733,0.3267,0.5267,5.2691,2023-07-25,2023-07-25,0.002767,-0.02594,-0.034084,0.00759,0.004921,0.058295,-0.050771,0.002767,0
VZ,2024-07-22,Telecom,0.5867,0.06,0.3533,0.5267,3.0321,2024-07-22,2024-07-22,-0.003548,0.041878,0.085359,0.033268,-0.071098,-0.029425,-0.042214,-0.003548,1
VZ,2025-07-21,Telecom,0.6333,0.0533,0.3133,0.58,2.3994,2025-07-21,2025-07-21,0.010918,-0.016053,0.007009,0.021608,0.038505,0.015548,-0.004225,0.010918,1
